Date,2022
5/3/22,"1,764,745"
5/2/22,"2,136,427"
5/1/22,"2,263,646"
4/30/22,"1,877,559"
4/29/22,"2,275,133"
4/28/22,"2,258,077"
4/27/22,"1,996,601"
4/26/22,"1,863,020"
4/25/22,"2,182,717"
4/24/22,"2,293,427"
4/23/22,"1,826,772"
4/22/22,"2,293,242"
4/21/22,"2,279,905"
4/20/22,"2,027,836"
4/19/22,"1,979,882"
4/18/22,"2,288,902"
4/17/22,"2,214,519"
4/16/22,"1,894,331"
4/15/22,"2,311,092"
4/14/22,"2,337,501"
4/13/22,"2,040,285"
4/12/22,"1,883,294"
4/11/22,"2,181,446"
4/10/22,"2,293,548"
4/9/22,"1,946,502"
4/8/22,"2,318,977"
4/7/22,"2,216,218"
4/6/22,"1,978,691"
4/5/22,"1,848,862"
4/4/22,"2,139,084"
4/3/22,"2,204,115"
4/2/22,"1,913,117"
4/1/22,"2,271,659"
3/31/22,"2,196,867"
3/30/22,"1,887,350"
3/29/22,"1,736,292"
3/28/22,"2,131,678"
3/27/22,"2,307,110"
3/26/22,"2,009,500"
3/25/22,"2,290,587"
3/24/22,"2,234,353"
3/23/22,"1,962,056"
3/22/22,"1,856,872"
3/21/22,"2,158,280"
3/20/22,"2,366,751"
3/19/22,"2,099,056"
3/18/22,"2,308,212"
3/17/22,"2,221,946"
3/16/22,"1,993,734"
3/15/22,"1,858,773"
3/14/22,"2,200,172"
3/13/22,"2,288,800"
3/12/22,"1,990,954"
3/11/22,"2,297,374"
3/10/22,"2,184,044"
3/9/22,"1,844,208"
3/8/22,"1,644,052"
3/7/22,"2,017,973"
3/6/22,"2,180,940"
3/5/22,"1,830,246"
3/4/22,"2,132,807"
3/3/22,"2,038,115"
3/2/22,"1,738,406"
3/1/22,"1,635,546"
2/28/22,"1,979,422"
2/27/22,"2,145,281"
2/26/22,"1,840,996"
2/25/22,"2,098,325"
2/24/22,"1,980,803"
2/23/22,"1,752,841"
2/22/22,"1,780,987"
2/21/22,"2,215,453"
2/20/22,"2,067,788"
2/19/22,"1,826,392"
2/18/22,"2,241,123"
2/17/22,"1,977,756"
2/16/22,"1,656,217"
2/15/22,"1,479,653"
2/14/22,"1,731,473"
2/13/22,"1,815,824"
2/12/22,"1,534,080"
2/11/22,"1,914,374"
2/10/22,"1,782,705"
2/9/22,"1,386,325"
2/8/22,"1,232,591"
2/7/22,"1,591,438"
2/6/22,"1,785,846"
2/5/22,"1,399,444"
2/4/22,"1,577,790"
2/3/22,"1,339,533"
2/2/22,"1,192,973"
2/1/22,"1,200,580"
1/31/22,"1,537,573"
1/30/22,"1,714,280"
1/29/22,"1,070,691"
1/28/22,"1,632,406"
1/27/22,"1,555,773"
1/26/22,"1,198,339"
1/25/22,"1,059,741"
1/24/22,"1,397,281"
1/23/22,"1,648,529"
1/22/22,"1,241,792"
1/21/22,"1,514,369"
1/20/22,"1,471,161"
1/19/22,"1,201,583"
1/18/22,"1,301,462"
1/17/22,"1,699,242"
1/16/22,"1,379,403"
1/15/22,"1,403,734"
1/14/22,"1,728,383"
1/13/22,"1,541,835"
1/12/22,"1,231,419"
1/11/22,"1,125,952"
1/10/22,"1,449,550"
1/9/22,"1,693,518"
1/8/22,"1,449,698"
1/7/22,"1,502,714"
1/6/22,"1,533,544"
1/5/22,"1,493,235"
1/4/22,"1,666,715"
1/3/22,"1,916,499"
1/2/22,"2,023,309"
1/1/22,"1,616,316"
12/31/21,
12/30/21,
12/29/21,
12/28/21,
12/27/21,
12/26/21,
12/25/21,
12/24/21,
12/23/21,
12/22/21,
12/21/21,
12/20/21,
12/19/21,
12/18/21,
12/17/21,
12/16/21,
12/15/21,
12/14/21,
12/13/21,
12/12/21,
12/11/21,
12/10/21,
12/9/21,
12/8/21,
12/7/21,
12/6/21,
12/5/21,
12/4/21,
12/3/21,
12/2/21,
12/1/21,
11/30/21,
11/29/21,
11/28/21,
11/27/21,
11/26/21,
11/25/21,
11/24/21,
11/23/21,
11/22/21,
11/21/21,
11/20/21,
